Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
07/08/2022,14:00,Matchweek 1,Sun,Away,D,2,2,Leicester City,2,8,3,37.5,0.25,0.67,17,0,0,0,0.8,0.8,0.1,1.2,1.2,Match Report
13/08/2022,17:30,Matchweek 2,Sat,Home,W,4,0,Manchester Utd,4,13,7,53.8,0.31,0.57,18.6,1,0,0,1.6,1.6,0.12,2.4,2.4,Match Report
20/08/2022,15:00,Matchweek 3,Sat,Away,L,2,3,Fulham,2,13,5,38.5,0.15,0.4,14.1,0,0,0,1.8,1.8,0.14,0.2,0.2,Match Report
27/08/2022,15:00,Matchweek 4,Sat,Home,D,1,1,Everton,1,20,5,25,0.05,0.2,14.8,0,0,0,2.1,2.1,0.11,-1.1,-1.1,Match Report
30/08/2022,19:30,Matchweek 5,Tue,Away,D,1,1,Crystal Palace,1,9,3,33.3,0.11,0.33,10.7,0,0,0,1.4,1.4,0.16,-0.4,-0.4,Match Report
03/09/2022,15:00,Matchweek 6,Sat,Home,W,5,2,Leeds United,5,13,7,53.8,0.31,0.57,18.8,2,1,1,2.3,1.6,0.13,2.7,2.4,Match Report
18/09/2022,12:00,Matchweek 8,Sun,Home,L,0,3,Arsenal,0,5,2,40,0,0,13.9,1,0,0,0.5,0.5,0.11,-0.5,-0.5,Match Report
01/10/2022,15:00,Matchweek 9,Sat,Away,D,0,0,Bournemouth,0,13,4,30.8,0,0,15.2,1,0,0,0.9,0.9,0.07,-0.9,-0.9,Match Report
08/10/2022,15:00,Matchweek 10,Sat,Away,L,1,5,Newcastle Utd,1,5,2,40,0,0,18.2,0,1,1,1.2,0.4,0.08,-0.2,-0.4,Match Report
14/10/2022,20:00,Matchweek 11,Fri,Home,W,2,0,Brighton,2,6,1,16.7,0.17,1,16.3,0,1,1,1.5,0.7,0.11,0.5,0.3,Match Report
19/10/2022,19:30,Matchweek 12,Wed,Home,D,0,0,Chelsea,0,8,5,62.5,0,0,14.5,0,0,0,1.3,1.3,0.16,-1.3,-1.3,Match Report
23/10/2022,14:00,Matchweek 13,Sun,Away,L,0,4,Aston Villa,0,12,3,25,0,0,16.8,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report
29/10/2022,15:00,Matchweek 14,Sat,Home,D,1,1,Wolves,1,12,3,25,0.08,0.33,15.4,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Match Report
05/11/2022,15:00,Matchweek 15,Sat,Away,D,2,2,Nott'ham Forest,2,5,1,20,0.2,1,20.3,0,1,1,1.5,0.7,0.13,0.5,0.3,Match Report
12/11/2022,12:30,Matchweek 16,Sat,Away,W,2,1,Manchester City,2,10,7,70,0.2,0.29,15.2,0,0,0,1.3,1.3,0.13,0.7,0.7,Match Report
26/12/2022,12:30,Matchweek 17,Mon,Home,D,2,2,Tottenham,2,9,4,44.4,0.22,0.5,10.2,0,0,0,2,2,0.24,0,0,Match Report
30/12/2022,19:45,Matchweek 18,Fri,Away,W,2,0,West Ham,2,9,6,66.7,0.22,0.33,13.4,1,0,0,1.6,1.6,0.2,0.4,0.4,Match Report
02/01/2023,17:30,Matchweek 19,Mon,Home,W,3,1,Liverpool,2,10,7,70,0.2,0.29,10.5,0,0,0,1.7,1.7,0.19,0.3,0.3,Match Report
14/01/2023,17:30,Matchweek 20,Sat,Home,W,2,0,Bournemouth,2,11,3,27.3,0.09,0.33,23.3,0,1,1,1.4,0.6,0.06,0.6,0.4,Match Report
22/01/2023,14:00,Matchweek 21,Sun,Away,D,0,0,Leeds United,0,6,0,0,0,,24.2,1,0,0,0.4,0.4,0.07,-0.4,-0.4,Match Report
04/02/2023,15:00,Matchweek 22,Sat,Home,W,3,0,Southampton,3,14,3,21.4,0.21,1,12.1,0,0,0,2.2,2.2,0.16,0.8,0.8,Match Report
11/02/2023,15:00,Matchweek 23,Sat,Away,D,1,1,Arsenal,1,9,2,22.2,0.11,0.5,12.9,0,0,0,2,2,0.22,-1,-1,Match Report
18/02/2023,15:00,Matchweek 24,Sat,Home,D,1,1,Crystal Palace,1,12,5,41.7,0.08,0.2,19,0,0,0,0.9,0.9,0.07,0.1,0.1,Match Report
06/03/2023,20:00,Matchweek 26,Mon,Home,W,3,2,Fulham,3,13,5,38.5,0.15,0.4,19.8,2,1,1,2.2,1.4,0.11,0.8,0.6,Match Report
11/03/2023,15:00,Matchweek 27,Sat,Away,L,0,1,Everton,0,12,3,25,0,0,13,1,0,0,2,2,0.18,-2,-2,Match Report
15/03/2023,19:30,Matchweek 7,Wed,Away,W,2,0,Southampton,2,11,4,36.4,0.18,0.5,18.3,0,0,0,1.9,1.9,0.18,0.1,0.1,Match Report
18/03/2023,15:00,Matchweek 28,Sat,Home,D,1,1,Leicester City,1,11,2,18.2,0.09,0.5,17.5,0,0,0,0.6,0.6,0.06,0.4,0.4,Match Report
01/04/2023,15:00,Matchweek 29,Sat,Away,D,3,3,Brighton,3,7,5,71.4,0.43,0.6,15.6,1,0,0,1.6,1.6,0.23,1.4,1.4,Match Report
05/04/2023,20:00,Matchweek 25,Wed,Away,L,0,1,Manchester Utd,0,6,1,16.7,0,0,16.5,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Match Report
08/04/2023,15:00,Matchweek 30,Sat,Home,L,1,2,Newcastle Utd,1,10,4,40,0,0,15.5,0,1,2,2.6,1,0.1,-1.6,-1,Match Report
For Brentford,,,,,,,,,Standard,,,,,,,,,,Expected,,,,,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
15/04/2023,15:00,Matchweek 31,Sat,Away,L,0,2,Wolves,0,10,3,30,0,0,15.6,0,0,0,1.1,1.1,0.12,-1.1,-1.1,Match Report
22/04/2023,15:00,Matchweek 32,Sat,Home,D,1,1,Aston Villa,1,16,5,31.3,0.06,0.2,16,1,0,0,2.7,2.7,0.17,-1.7,-1.7,Match Report
26/04/2023,19:45,Matchweek 33,Wed,Away,W,2,0,Chelsea,1,7,1,14.3,0.14,1,11.5,0,0,0,1.1,1.1,0.16,-0.1,-0.1,Match Report
29/04/2023,15:00,Matchweek 34,Sat,Home,W,2,1,Nott'ham Forest,2,14,8,57.1,0.14,0.25,16.8,1,0,0,1.6,1.6,0.12,0.4,0.4,Match Report
06/05/2023,17:30,Matchweek 35,Sat,Away,L,0,1,Liverpool,0,5,1,20,0,0,19.5,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report
14/05/2023,14:00,Matchweek 36,Sun,Home,W,2,0,West Ham,2,24,9,37.5,0.08,0.22,12.8,0,0,0,3.4,3.4,0.16,-1.4,-1.4,Match Report
20/05/2023,12:30,Matchweek 37,Sat,Away,W,3,1,Tottenham,3,11,4,36.4,0.27,0.75,18.1,0,0,0,1.3,1.3,0.12,1.7,1.7,Match Report
28/05/2023,16:30,Matchweek 38,Sun,Home,W,1,0,Manchester City,1,11,4,36.4,0.09,0.25,14,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Match Report
